Date,Closing Index Value,Total Market Capitalization
2018-12-21,2416.62,20475342926009.79
2018-12-24,2351.1,19920210357168.94
2018-12-26,2467.7,20908129428091.44
2018-12-27,2488.83,21087157986998.76
2018-12-28,2485.74,21060977284347.38
2018-12-31,2506.85,21239836388868.6
2019-01-02,2510.03,21266779636257.4
2019-01-03,2447.89,20740284858666.28
2019-01-04,2531.94,21452416916222.34
2019-01-07,2549.69,21602807683879.92
2019-01-08,2574.41,21812253305090.93
2019-01-09,2584.96,21901640493755.02
2019-01-10,2596.64,22000601855233.36
2019-01-11,2596.26,21997382221897.6
2019-01-14,2582.61,21881729603389.09
2019-01-15,2610.3,22116339200934.92
2019-01-16,2616.1,22165480972901.9
2019-01-17,2635.96,22333749178292.31
2019-01-18,2670.71,22628176174128.99
2019-01-22,2632.9,22307822657220.08
2019-01-23,2638.7,22356964429187.06
2019-01-24,2642.33,22387720400262.94
2019-01-25,2664.76,22577763494266.31
2019-01-28,2643.85,22400598933606.02
2019-01-29,2640.0,22367978964283.1
2019-01-30,2681.05,22715784091739.1
2019-01-31,2704.1,22911080271711.34
2019-02-01,2706.53,22931668979621.65
2019-02-04,2724.87,23087058651668.98
2019-02-05,2737.7,23195763640347.67
2019-02-06,2731.61,23144164779782.34
2019-02-07,2706.05,22927602074355.42
2019-02-08,2707.88,22943107150682.94
2019-02-11,2709.8,22959374771747.86
2019-02-12,2744.73,23255326857059.38
2019-02-13,2753.03,23325650427288.0
2019-02-14,2745.73,23263799576364.04
2019-02-15,2775.6,23516879701994.01
2019-02-19,2779.76,23552126214301.36
2019-02-20,2784.7,23593981447666.35
2019-02-21,2774.88,23510779344094.66
2019-02-22,2792.67,23661509020524.44
2019-02-25,2796.11,23690655174932.44
2019-02-26,2793.9,23671930465269.16
2019-02-27,2792.38,23659051931926.08
2019-02-28,2784.49,23592202176612.37
2019-03-01,2803.69,23754878387261.7
2019-03-04,2792.81,23662695201227.08
2019-03-05,2789.65,23635921408224.38
2019-03-06,2771.45,23481717916879.7
2019-03-07,2748.93,23290912278138.92
2019-03-08,2743.07,23241262143013.66
2019-03-11,2783.3,23582119640639.84
2019-03-12,2791.52,23651765393324.08
2019-03-13,2810.92,23816136147834.34
2019-03-14,2808.48,23795462712730.99
2019-03-15,2822.48,23914080782996.13
2019-03-18,2832.94,24002705426922.8
2019-03-19,2832.57,23999570520780.08
2019-03-20,2824.23,23928908041779.28
2019-03-21,2854.88,24188596888466.88
2019-03-22,2800.71,23729629683733.84
2019-03-25,2798.36,23709718793367.9
2019-03-26,2818.46,23880020451391.42
2019-03-27,2805.37,23769112555693.52
2019-03-28,2815.44,23854432839091.38
2019-03-29,2834.4,24015075597107.59
2019-04-01,2867.19,24292896063107.15
2019-04-02,2867.24,24293319699072.38
2019-04-03,2873.4,24345511649989.04
2019-04-04,2879.39,24396263238623.92
2019-04-05,2892.74,24509374041341.02
2019-04-08,2895.77,24535046380834.12
2019-04-09,2878.2,24386180702651.38
2019-04-10,2888.21,24470992622890.96
2019-04-11,2888.32,24471924622014.46
2019-04-12,2907.41,24633668833540.28
2019-04-15,2905.58,24618163757212.77
2019-04-16,2907.06,24630703381783.65
2019-04-17,2900.45,24574698707179.9
2019-04-18,2905.03,24613503761595.21
2019-04-22,2907.97,24638413556350.88
2019-04-23,2933.68,24856247169673.51
2019-04-24,2927.25,24801767584544.6
2019-04-25,2926.17,24792617047695.56
2019-04-26,2939.88,24908778029362.36
2019-04-29,2943.03,24935467095172.01
2019-04-30,2945.83,24959190709225.04
2019-05-01,2923.73,24771943612592.22
2019-05-02,2917.52,24719328025710.32
2019-05-03,2945.64,24957580892557.15
2019-05-06,2932.47,24845995179314.88
2019-05-07,2884.05,24435746110583.6
2019-05-08,2879.42,24396517420203.06
2019-05-09,2870.72,24322804762252.58
2019-05-10,2881.4,24413293404426.26
2019-05-13,2811.87,23824185231173.76
2019-05-14,2834.41,24015160324300.64
2019-05-15,2850.96,24155383828792.64
2019-05-16,2876.32,24370251990358.64
2019-05-17,2859.53,24227995033233.51
2019-05-20,2840.23,24064471550653.72
2019-05-21,2864.36,24268918267474.98
2019-05-22,2856.27,24200373968300.34
2019-05-23,2822.24,23912047330363.01
2019-05-24,2826.06,23944413118106.78
2019-05-28,2802.39,23743863852165.66
2019-05-29,2783.02,23579747279234.54
2019-05-30,2788.86,23629227959973.7
2019-05-31,2752.06,23317431889562.49
2019-06-03,2744.45,23252954495654.08
2019-06-04,2803.27,23751319845153.75
2019-06-05,2826.15,23945175662844.2
2019-06-06,2843.49,24092092615586.88
2019-06-07,2873.34,24345003286830.76
2019-06-10,2886.73,24458452998320.06
2019-06-11,2885.72,24449895551822.36
2019-06-12,2879.84,24400075962311.01
2019-06-13,2891.64,24500054050105.91
2019-06-14,2886.98,24460571178146.22
2019-06-17,2889.67,24483362793075.74
2019-06-18,2917.75,24721276751150.39
2019-06-19,2926.46,24795074136293.92
2019-06-20,2954.18,25029937915418.88
2019-06-21,2950.46,24998419399605.58
2019-06-24,2945.35,24955123803958.8
2019-06-25,2917.38,24718141845007.67
2019-06-26,2913.78,24687640055510.92
2019-06-27,2924.92,24782026148564.76
2019-06-28,2941.76,24924706741655.1
2019-07-01,2964.33,25115936016361.12
2019-07-02,2973.01,25189479219925.5
2019-07-03,2995.82,25382741947264.63
2019-07-05,2990.41,25336904535826.46
2019-07-08,2975.95,25214389014681.18
2019-07-09,2979.63,25245568621722.3
2019-07-10,2993.07,25359441969176.83
2019-07-11,2999.91,25417395369220.66
2019-07-12,3013.77,25534827258783.14
2019-07-15,3014.3,25539317800014.61
2019-07-16,3004.04,25452387699948.87
2019-07-17,2984.42,25286152947191.58
2019-07-18,2995.11,25376726316558.32
2019-07-19,2976.61,25219981009422.25
