"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2014","57.71","57.25","57.74","57.17","1.72M","0.61%"
"05/20/2014","57.36","57.18","57.62","57.17","1.70M","-0.26%"
"05/19/2014","57.51","57.33","57.60","57.17","2.07M","-0.12%"
"05/16/2014","57.58","57.06","57.65","56.81","2.33M","1.02%"
"05/15/2014","57.00","57.48","57.54","56.84","2.48M","-0.89%"
"05/14/2014","57.51","57.59","57.75","57.32","1.72M","-0.24%"
"05/13/2014","57.65","57.37","57.84","57.36","1.86M","0.40%"
"05/12/2014","57.42","57.30","57.69","57.20","2.19M","0.31%"
"05/09/2014","57.24","56.67","57.24","56.59","2.20M","1.13%"
"05/08/2014","56.60","56.97","57.09","56.31","1.73M","-0.18%"
"05/07/2014","56.70","56.32","56.96","56.07","2.48M","1.14%"
"05/06/2014","56.06","55.87","56.43","55.86","2.05M","-0.36%"
"05/05/2014","56.26","56.11","56.32","55.71","2.35M","0.11%"
"05/02/2014","56.20","57.12","57.18","55.91","3.39M","-0.86%"
"05/01/2014","56.69","56.90","56.93","56.35","2.67M","-0.30%"
"04/30/2014","56.86","56.67","56.95","56.56","2.53M","0.34%"
"04/29/2014","56.67","57.39","57.39","56.66","2.55M","-0.81%"
"04/28/2014","57.13","57.00","57.28","56.65","2.84M","0.83%"
"04/25/2014","56.66","56.88","56.94","56.50","1.79M","-0.30%"
"04/24/2014","56.83","57.08","57.13","56.53","2.15M","-0.18%"
"04/23/2014","56.93","56.30","57.12","56.13","2.33M","1.05%"
"04/22/2014","56.34","56.96","57.01","56.03","3.14M","-1.04%"
"04/21/2014","56.93","56.99","57.07","56.66","1.69M","0.04%"
"04/17/2014","56.91","56.43","57.15","56.25","2.50M","0.32%"
"04/16/2014","56.73","56.47","56.73","56.15","2.26M","1.05%"
"04/15/2014","56.14","56.42","56.56","55.93","2.43M","-0.12%"
"04/14/2014","56.21","56.09","56.36","55.66","2.47M","1.02%"
"04/11/2014","55.64","56.32","56.32","55.47","2.62M","-0.45%"
"04/10/2014","55.89","56.37","57.07","55.85","2.97M","-0.57%"
"04/09/2014","56.21","57.03","57.08","56.12","4.41M","-2.14%"
"04/08/2014","57.44","57.68","57.95","57.12","3.87M","-0.26%"
"04/07/2014","57.59","56.80","57.97","56.54","4.47M","1.39%"
"04/04/2014","56.80","57.70","57.76","56.79","4.34M","-0.89%"
"04/03/2014","57.31","56.75","57.38","56.59","3.26M","1.17%"
"04/02/2014","56.65","55.98","56.76","55.75","2.99M","0.96%"
"04/01/2014","56.11","56.16","56.24","55.77","2.90M","0.02%"
"03/31/2014","56.10","55.85","56.49","55.73","2.50M","0.72%"
"03/28/2014","55.70","55.73","56.00","55.43","2.03M","0.29%"
"03/27/2014","55.54","55.74","55.89","55.41","2.13M","-0.64%"
"03/26/2014","55.90","56.00","56.30","55.83","2.64M","0.25%"
"03/25/2014","55.76","55.57","55.87","55.48","1.84M","0.58%"
"03/24/2014","55.44","55.69","55.91","55.04","2.40M","0.13%"
"03/21/2014","55.37","56.56","56.56","55.35","3.79M","-1.18%"
"03/20/2014","56.03","55.59","56.05","55.45","1.53M","0.47%"
"03/19/2014","55.77","56.34","56.35","55.45","2.02M","-0.78%"
"03/18/2014","56.21","56.00","56.37","55.68","1.88M","0.52%"
"03/17/2014","55.92","55.89","56.00","55.52","2.33M","0.81%"
"03/14/2014","55.47","55.34","55.75","55.25","2.92M","-0.36%"
"03/13/2014","55.67","55.26","56.10","55.14","2.03M","-0.09%"
"03/12/2014","55.72","55.00","55.72","55.00","2.48M","0.54%"
"03/11/2014","55.42","55.54","55.76","55.19","2.21M","-0.18%"
"03/10/2014","55.52","55.69","56.04","55.46","2.08M","-0.23%"
"03/07/2014","55.65","55.97","55.99","55.20","1.86M","0.05%"
"03/06/2014","55.62","55.80","55.80","55.54","1.54M","-0.02%"
"03/05/2014","55.63","55.52","55.67","55.32","2.63M","-0.30%"
"03/04/2014","55.80","55.55","56.02","55.41","2.63M","1.27%"
"03/03/2014","55.10","54.88","55.20","54.48","2.29M","-0.31%"
"02/28/2014","55.27","55.28","55.59","54.96","2.93M","0.18%"
"02/27/2014","55.17","54.76","55.18","54.53","4.12M","0.53%"
"02/26/2014","54.88","55.69","55.70","54.54","3.63M","-1.10%"
"02/25/2014","55.49","55.04","55.75","55.04","2.63M","0.67%"
"02/24/2014","55.12","55.00","55.63","55.00","2.89M","0.05%"
"02/21/2014","55.09","54.97","55.57","54.75","3.58M","-0.20%"
"02/20/2014","55.20","54.53","55.60","54.53","4.25M","1.17%"
"02/19/2014","54.56","54.00","54.69","53.99","3.32M","0.42%"
"02/18/2014","54.33","53.89","54.47","53.70","3.58M","1.06%"
"02/14/2014","53.76","54.85","55.00","52.56","8.03M","0.30%"
"02/13/2014","53.60","53.07","53.75","53.07","3.40M","0.34%"
"02/12/2014","53.42","53.45","53.62","53.08","3.28M","0.47%"
"02/11/2014","53.17","53.10","53.40","52.91","3.89M","-0.04%"
"02/10/2014","53.19","52.35","53.29","52.11","3.44M","1.70%"
"02/07/2014","52.30","52.11","52.42","51.91","3.06M","1.26%"
"02/06/2014","51.65","51.38","51.71","51.25","2.77M","1.04%"
"02/05/2014","51.12","51.00","51.32","50.54","3.40M","0.12%"
"02/04/2014","51.06","51.24","51.46","50.59","3.75M","-0.12%"
"02/03/2014","51.12","52.86","52.91","51.07","4.70M","-2.35%"
"01/31/2014","52.35","52.01","52.60","51.99","3.25M","-0.63%"
"01/30/2014","52.68","52.59","52.81","52.21","2.98M","0.94%"
"01/29/2014","52.19","52.55","52.88","52.06","2.95M","-1.30%"
"01/28/2014","52.88","52.96","53.10","52.58","2.22M","0.08%"
"01/27/2014","52.84","53.04","53.21","52.73","3.09M","-0.09%"
"01/24/2014","52.89","53.17","53.56","52.67","3.35M","-1.12%"
"01/23/2014","53.49","54.14","54.25","53.31","3.47M","-1.67%"
"01/22/2014","54.40","54.43","54.52","54.04","2.80M","0.29%"
"01/21/2014","54.24","55.20","55.20","54.05","3.44M","-0.95%"
"01/17/2014","54.76","54.53","55.11","54.40","4.21M","0.13%"
"01/16/2014","54.69","54.34","54.85","54.11","2.37M","0.33%"
"01/15/2014","54.51","54.48","54.68","54.00","2.61M","0.17%"
"01/14/2014","54.42","53.66","54.71","53.51","4.29M","1.74%"
"01/13/2014","53.49","53.65","54.06","53.21","3.62M","-0.58%"
"01/10/2014","53.80","53.41","53.82","53.12","2.44M","0.90%"
"01/09/2014","53.32","53.47","53.72","52.87","3.38M","0.13%"
"01/08/2014","53.25","54.32","54.48","52.81","5.41M","-1.26%"
"01/07/2014","53.93","53.37","54.16","53.32","3.34M","0.94%"
"01/06/2014","53.43","53.94","53.94","53.11","2.39M","-0.04%"
"01/03/2014","53.45","53.70","53.99","53.38","2.06M","-0.52%"
"01/02/2014","53.73","53.80","53.89","53.43","1.78M","-0.33%"
"12/31/2013","53.91","53.91","54.21","53.72","1.72M","-0.06%"
"12/30/2013","53.94","53.67","54.12","53.60","1.63M","0.45%"
"12/27/2013","53.70","53.79","53.94","53.56","1.49M","0.13%"
"12/26/2013","53.63","53.34","53.71","53.22","1.40M","0.58%"
"12/24/2013","53.32","53.33","53.49","53.06","1.10M","-1.17%"
"12/23/2013","53.95","53.65","54.00","53.51","2.26M","-0.09%"
"12/20/2013","54.00","53.29","54.05","53.20","5.54M","1.54%"
"12/19/2013","53.18","53.42","53.50","52.91","4.17M","-0.30%"
"12/18/2013","53.34","53.22","53.41","52.41","4.54M","1.72%"
"12/17/2013","52.44","52.70","52.75","52.30","2.79M","-0.76%"
"12/16/2013","52.84","52.72","53.30","52.60","2.00M","0.44%"
"12/13/2013","52.61","53.25","53.27","52.47","3.15M","-0.60%"
"12/12/2013","52.93","53.63","53.69","52.67","3.21M","-1.49%"
"12/11/2013","53.73","53.86","54.14","53.63","2.14M","-0.61%"
"12/10/2013","54.06","54.72","54.78","53.66","3.16M","-0.81%"
"12/09/2013","54.50","54.58","54.92","54.30","3.94M","1.77%"
"12/06/2013","53.55","53.05","53.60","53.04","2.37M","1.69%"
"12/05/2013","52.66","52.88","52.98","52.45","2.18M","-0.28%"
"12/04/2013","52.81","52.87","52.99","52.31","2.52M","-0.41%"
"12/03/2013","53.03","52.91","53.32","52.86","2.37M","-0.13%"
"12/02/2013","53.10","53.36","53.41","52.76","2.40M","-0.04%"
"11/29/2013","53.12","53.39","53.69","53.03","1.44M","-0.51%"
"11/27/2013","53.39","53.10","53.59","53.00","2.60M","0.41%"
"11/26/2013","53.17","52.97","53.59","52.80","3.70M","0.93%"
"11/25/2013","52.68","52.99","52.99","52.60","2.03M","-0.08%"
"11/22/2013","52.72","52.13","52.90","52.12","2.39M","0.42%"
"11/21/2013","52.50","52.69","52.82","52.09","3.59M","-0.17%"
"11/20/2013","52.59","53.59","53.59","52.29","3.90M","-0.53%"
"11/19/2013","52.87","52.96","53.10","52.67","2.98M","-0.13%"
"11/18/2013","52.94","53.31","53.94","52.80","2.95M","-0.21%"
"11/15/2013","53.05","53.07","53.13","52.51","3.31M","0.06%"
"11/14/2013","53.02","52.71","53.18","52.58","2.72M","0.95%"
"11/13/2013","52.52","52.37","52.53","51.97","3.18M","1.08%"
