"date","index","ticker","market_cap","company_name"
"2011-05-27","505","XOM","409728982569.43","Exxon Mobil Corporation"
"2011-05-31","505","XOM","413894205192.67","Exxon Mobil Corporation"
"2011-06-01","505","XOM","406753823552.83","Exxon Mobil Corporation"
"2011-06-02","505","XOM","403282804700.13","Exxon Mobil Corporation"
"2011-06-03","505","XOM","402539014945.98","Exxon Mobil Corporation"
"2011-06-06","505","XOM","398125862404.69","Exxon Mobil Corporation"
"2011-06-07","505","XOM","396687868880.00","Exxon Mobil Corporation"
"2011-06-08","505","XOM","400456403634.36","Exxon Mobil Corporation"
"2011-06-09","505","XOM","402539014945.98","Exxon Mobil Corporation"
"2011-06-10","505","XOM","395596977240.58","Exxon Mobil Corporation"
"2011-06-13","505","XOM","392869748142.03","Exxon Mobil Corporation"
"2011-06-14","505","XOM","398572136257.18","Exxon Mobil Corporation"
"2011-06-15","505","XOM","390043347076.26","Exxon Mobil Corporation"
"2011-06-16","505","XOM","392820162158.42","Exxon Mobil Corporation"
"2011-06-17","505","XOM","391828442486.22","Exxon Mobil Corporation"
"2011-06-20","505","XOM","395249875355.31","Exxon Mobil Corporation"
"2011-06-21","505","XOM","399514269945.77","Exxon Mobil Corporation"
"2011-06-22","505","XOM","395795321175.02","Exxon Mobil Corporation"
"2011-06-23","505","XOM","388952455436.84","Exxon Mobil Corporation"
"2011-06-24","505","XOM","380721182157.58","Exxon Mobil Corporation"
"2011-06-27","505","XOM","386373984289.12","Exxon Mobil Corporation"
"2011-06-28","505","XOM","394853187486.43","Exxon Mobil Corporation"
"2011-06-29","505","XOM","397927518470.25","Exxon Mobil Corporation"
"2011-06-30","505","XOM","400884855649.46","Exxon Mobil Corporation"
"2011-07-01","505","XOM","403988289651.17","Exxon Mobil Corporation"
"2011-07-05","505","XOM","401968594507.20","Exxon Mobil Corporation"
"2011-07-06","505","XOM","401820811935.69","Exxon Mobil Corporation"
"2011-07-07","505","XOM","405712419652.12","Exxon Mobil Corporation"
"2011-07-08","505","XOM","406007984795.14","Exxon Mobil Corporation"
