"date","index","ticker","market_cap","company_name","sp500_total_market_cap","proportion_sp500","expected_num_constituents","num_actual_constituents","available_data_prop"
"2025-07-29","317","NVDA","4276476660000.00","NVIDIA Corporation","59528423024947.00","0.072","503","503","1.000"
"2025-07-28","317","NVDA","4306690500000.00","NVIDIA Corporation","59662510837424.00","0.072","503","503","1.000"
"2023-06-15","415","AAPL","2943040175460.00","Apple Inc.","40956471042923.02","0.072","503","503","1.000"
"2023-07-14","415","AAPL","2999306184380.00","Apple Inc.","41634719622103.97","0.072","503","503","1.000"
"2023-06-16","415","AAPL","2925794254320.00","Apple Inc.","40793841992814.84","0.072","503","503","1.000"
"2023-06-20","415","AAPL","2927218229460.00","Apple Inc.","40684755755683.79","0.072","503","504","1.002"
"2025-11-11","317","NVDA","4706536560000.00","NVIDIA Corporation","65394728590228.00","0.072","503","503","1.000"
"2025-07-18","317","NVDA","4200942060000.00","NVIDIA Corporation","58721483514543.00","0.072","503","503","1.000"
"2025-07-17","317","NVDA","4215318000000.00","NVIDIA Corporation","58663124153162.00","0.072","503","502","0.998"
"2023-12-05","415","AAPL","3023973153440.00","Apple Inc.","42290029018826.50","0.072","503","503","1.000"
"2023-05-12","415","AAPL","2730393221220.00","Apple Inc.","38168628234305.15","0.072","503","503","1.000"
"2023-05-11","415","AAPL","2749063117500.00","Apple Inc.","38216602116495.14","0.072","503","503","1.000"
"2023-06-13","415","AAPL","2900320921260.00","Apple Inc.","40427685874047.01","0.072","503","503","1.000"
"2023-05-10","415","AAPL","2745977838030.00","Apple Inc.","38199400568751.26","0.072","503","503","1.000"
"2023-05-09","415","AAPL","2717735664420.00","Apple Inc.","37980042195532.37","0.072","503","503","1.000"
"2023-05-08","415","AAPL","2745107631000.00","Apple Inc.","38153124496040.87","0.072","503","503","1.000"
"2023-06-14","415","AAPL","2910446966700.00","Apple Inc.","40466585213881.63","0.072","503","503","1.000"
"2023-05-05","415","AAPL","2746215167220.00","Apple Inc.","38105314491826.44","0.072","503","503","1.000"
"2023-09-05","415","AAPL","2983734769400.00","Apple Inc.","41722831833839.81","0.072","503","503","1.000"
"2022-09-27","415","AAPL","2438897323520.00","Apple Inc.","34008902955084.53","0.072","503","503","1.000"
"2023-06-05","415","AAPL","2841305062680.00","Apple Inc.","39606353384442.77","0.072","503","503","1.000"
"2023-06-02","415","AAPL","2862981128700.00","Apple Inc.","39659830587929.99","0.072","503","503","1.000"
"2025-07-16","317","NVDA","4175601420000.00","NVIDIA Corporation","58385319918972.00","0.072","503","503","1.000"
"2020-09-01","415","AAPL","2326324281200.00","Apple Inc.","32176608173176.87","0.072","507","505","0.996"
"2025-09-30","317","NVDA","4546208280000.00","NVIDIA Corporation","63452849597565.00","0.072","503","503","1.000"
"2025-10-01","317","NVDA","4562289840000.00","NVIDIA Corporation","63679366679635.00","0.072","503","503","1.000"
"2023-05-31","415","AAPL","2804439928500.00","Apple Inc.","38735360696966.60","0.072","503","503","1.000"
"2023-05-30","415","AAPL","2805231025800.00","Apple Inc.","38960155310494.99","0.072","503","503","1.000"
"1999-08-13","1005","SHEL","770712090855.00","Shell Plc Adr (Representing - )","10844744365549.48","0.071","513","463","0.903"
"2025-11-07","317","NVDA","4584462900000.00","NVIDIA Corporation","64191305464737.00","0.071","503","503","1.000"
"1999-08-10","1005","SHEL","751739995624.00","Shell Plc Adr (Representing - )","10531941250878.11","0.071","513","464","0.904"
"2025-11-06","317","NVDA","4582757280000.00","NVIDIA Corporation","64188127798834.00","0.071","503","503","1.000"
"2025-10-27","317","NVDA","4665845340000.00","NVIDIA Corporation","65388533396467.00","0.071","503","503","1.000"
